position,from_macro,to_macro,count,prob
8,chmod,sh,7,1.0
8,curl,chmod,1,1.0
8,echo,passwd,3292,0.9777249777249777
8,echo,cd,75,0.022275022275022274
8,grep,head,997,0.9707887049659202
8,grep,wc,30,0.029211295034079845
8,ls,echo,8,1.0
8,rm,cat,4,1.0
8,wget,sh,122,0.9838709677419355
8,wget,curl,1,0.008064516129032258
8,wget,chmod,1,0.008064516129032258
9,>/dev/.l,cd,222,1.0
9,cat,head,4,0.8
9,cat,more,1,0.2
9,cd,wget,75,0.7731958762886598
9,cd,/bin/busybox,22,0.2268041237113402
9,chmod,./awoo,2,0.5
9,chmod,./cutie.x86_64,1,0.25
9,chmod,./.f,1,0.25
9,curl,chmod,1,1.0
9,echo,cat,8,1.0
9,head,awk,997,1.0
9,passwd,cat,3282,0.9975683890577508
9,passwd,echo,8,0.0024316109422492403
9,sh,curl,122,0.9457364341085271
9,sh,tftp,7,0.05426356589147287
9,tftp,wget,172,1.0
9,wc,echo,19,0.6333333333333333
9,wc,head,11,0.36666666666666664
10,./awoo,>/var/log/lastlog,2,1.0
10,./cutie.x86_64,rm,1,1.0
10,/bin/busybox,/bin/busybox,22,1.0
10,awk,free,997,1.0
10,cat,grep,3282,1.0
10,cd,echo,222,1.0
10,chmod,sh,1,1.0
10,curl,sh,122,1.0
10,echo,passwd,15,0.5555555555555556
10,echo,rm,8,0.2962962962962963
10,echo,chpasswd,4,0.14814814814814814
10,head,cat,4,1.0
10,more,cat,1,1.0
10,tftp,chmod,7,1.0
10,wget,/bin/busybox,172,0.6963562753036437
10,wget,./.f,75,0.30364372469635625
11,./.f,>.f,75,1.0
11,/bin/busybox,dd,172,0.8865979381443299
11,/bin/busybox,/bin/busybox,22,0.1134020618556701
11,>/var/log/lastlog,>/var/log/wtmp,2,1.0
11,cat,grep,4,0.8
11,cat,head,1,0.2
11,chmod,sh,7,1.0
11,chpasswd,bash,4,1.0
11,echo,./helloworld,222,1.0
11,free,grep,997,1.0
11,grep,head,3282,1.0
11,passwd,bash,15,1.0
11,rm,cat,8,1.0
11,sh,tftp,1,1.0
12,./helloworld,>/mnt/.l,222,1.0
12,/bin/busybox,cd,22,1.0
12,>.f,echo,74,1.0
12,>/var/log/wtmp,>/var/log/btmp,2,1.0
12,bash,Enter,15,0.7894736842105263
12,bash,cat,4,0.21052631578947367
12,cat,head,8,1.0
12,dd,cat,172,1.0
12,grep,awk,997,0.996003996003996
12,grep,head,4,0.003996003996003996
12,head,awk,3282,0.999695400548279
12,head,dd,1,0.0003045994517209869
12,sh,ftpget,4,0.5714285714285714
12,sh,tftp,3,0.42857142857142855
12,tftp,chmod,1,1.0
13,>/mnt/.l,cd,222,1.0
13,>/var/log/btmp,history,2,1.0
13,Enter,echo,15,1.0
13,awk,free,3280,0.7670720299345183
13,awk,ls,996,0.23292797006548177
13,cat,while,172,0.9772727272727273
13,cat,grep,4,0.022727272727272728
13,cd,cd,22,1.0
13,chmod,sh,1,1.0
13,dd,cat,1,1.0
13,ftpget,sh,4,1.0
13,head,cat,8,0.6666666666666666
13,head,awk,4,0.3333333333333333
13,tftp,chmod,3,1.0
14,awk,free,4,1.0
14,cat,grep,8,0.8888888888888888
14,cat,while,1,0.1111111111111111
14,cd,echo,222,0.9098360655737705
14,cd,cd,22,0.09016393442622951
14,chmod,sh,3,1.0
14,echo,passwd,15,1.0
14,free,grep,3280,1.0
14,grep,head,4,1.0
14,ls,which,996,1.0
14,sh,rm,4,0.8
14,sh,tftp,1,0.2
14,while,do,172,1.0
15,cd,cd,22,1.0
15,do,done,172,1.0
15,echo,./helloworld,222,1.0
15,free,grep,4,1.0
15,grep,awk,3280,0.9975669099756691
15,grep,head,8,0.0024330900243309003
15,head,awk,4,1.0
15,passwd,cat,15,1.0
15,rm,rm,4,1.0
15,sh,ftpget,3,1.0
15,tftp,chmod,1,1.0
15,which,crontab,996,1.0
15,while,do,1,1.0
16,./helloworld,>/var/run/.l,222,1.0
16,awk,ls,3280,0.9987819732034104
16,awk,free,4,0.001218026796589525
16,cat,grep,15,1.0
16,cd,cd,22,1.0
16,chmod,sh,1,1.0
16,crontab,w,996,1.0
16,do,done,1,1.0
16,done,/bin/busybox,172,1.0
16,ftpget,sh,3,1.0
16,grep,awk,4,1.0
16,head,awk,8,1.0
17,/bin/busybox,rm,160,0.9937888198757764
17,/bin/busybox,>.s,1,0.006211180124223602
17,>/var/run/.l,cd,222,1.0
17,awk,free,8,0.6666666666666666
17,awk,ls,4,0.3333333333333333
17,cd,cd,22,1.0
17,done,while,1,1.0
17,free,grep,4,1.0
17,grep,head,15,1.0
17,ls,which,3280,1.0
17,sh,rm,3,0.75
17,sh,ftpget,1,0.25
17,w,uname,995,1.0
18,>.s,cp,1,1.0
18,cd,echo,222,0.9098360655737705
18,cd,rm,22,0.09016393442622951
18,free,grep,8,1.0
18,ftpget,sh,1,1.0
18,grep,awk,4,1.0
18,head,awk,15,1.0
18,ls,which,4,1.0
18,rm,exit,157,0.9631901840490797
18,rm,rm,3,0.018404907975460124
18,rm,tftp,3,0.018404907975460124
18,uname,cat,994,1.0
18,which,crontab,3279,1.0
18,while,do,1,1.0
19,awk,free,15,0.7894736842105263
19,awk,ls,4,0.21052631578947367
19,cat,grep,994,1.0
19,cp,echo,1,1.0
19,crontab,w,3279,1.0
19,do,done,1,1.0
19,echo,./helloworld,222,1.0
19,grep,awk,8,1.0
19,rm,wget,22,1.0
19,sh,rm,1,1.0
19,tftp,chmod,3,1.0
19,which,crontab,4,1.0
20,./helloworld,>/var/tmp/.l,222,1.0
20,awk,ls,8,1.0
20,chmod,./.i,3,1.0
20,crontab,w,4,1.0
20,done,chmod,1,1.0
20,echo,echo,1,1.0
20,free,grep,15,1.0
20,grep,grep,994,1.0
20,ls,which,4,1.0
20,rm,rm,1,1.0
20,w,uname,3272,1.0
20,wget,curl,22,1.0
21,./.i,exit,3,1.0
21,>/var/tmp/.l,cd,222,1.0
21,chmod,echo,1,1.0
21,curl,/bin/busybox,22,1.0
21,echo,echo,1,1.0
21,grep,wc,994,0.9851337958374629
21,grep,awk,15,0.014866204162537165
21,ls,which,8,1.0
21,uname,cat,3244,1.0
21,w,uname,4,1.0
21,which,crontab,4,1.0
22,/bin/busybox,chmod,22,1.0
22,awk,ls,14,1.0
22,cat,grep,3244,1.0
22,cd,echo,222,1.0
22,crontab,w,4,1.0
22,echo,echo,2,1.0
22,uname,cat,4,1.0
22,wc,top,991,1.0
22,which,crontab,8,1.0
23,cat,grep,4,1.0
23,chmod,cp,22,1.0
